category,name,type,cuisine,address,postcode,town,latitude,longitude,phone,website,opening_hours,stars,wheelchair,osm_id,osm_type,scraped_at
attractions,Helmshore Memorial Park (Snig Hole),park,,,,,53.683353,-2.3305261,,https://friendsofsnigholepark.wordpress.com/,,,,631950803,way,2026-03-06T09:52:37.365116
attractions,Berry's Garden,park,,,,,53.6246443,-2.6527359,,,,,,639682342,way,2026-03-06T09:52:37.365120
attractions,Top Mill Park,park,,,,,53.6540086,-2.3024696,,,,,,642113087,way,2026-03-06T09:52:37.365121
attractions,The Geoff Witts Millenium Green,park,,,,,53.6596033,-2.6770799,,,,,,643845978,way,2026-03-06T09:52:37.365123
attractions,Peel Tower,monument,,,,,53.6433897,-2.3379921,,,,,,644335615,way,2026-03-06T09:52:37.365127
attractions,Eccleston Millenium Green,park,,,,,53.6457525,-2.7274849,,,,,,656341671,way,2026-03-06T09:52:37.365130
attractions,Horwich Heritage Centre,museum,,,,,53.6005647,-2.544255,,https://www.horwichheritage.co.uk/,,,,665303873,way,2026-03-06T09:52:37.365132
attractions,Fairview Youth & Community Centre,community_centre,,"Highfield Road North, Chorley, PR6 9RN",PR6 9RN,Chorley,53.6173027,-2.6064774,,,,,,673841876,way,2026-03-06T09:52:37.365134
attractions,Roman Bath House,attraction,,,,,54.0514882,-2.8037674,,https://www.lancaster.gov.uk/sport-and-leisure/museums/roman-bath-house,24/7,,,674246059,way,2026-03-06T09:52:37.365137
attractions,Corporation Park War Memorial,park,,,,,53.7525701,-2.4919934,,,,,,688152627,way,2026-03-06T09:52:37.365139
attractions,Martin Mere Education Centre,attraction,,,,,53.6227987,-2.8643996,,,,,,689355907,way,2026-03-06T09:52:37.365143
attractions,Beaumont Cote Manor,castle,,,,,54.0876907,-2.7691028,,,,,,690208609,way,2026-03-06T09:52:37.365145
attractions,Lomeshaye Marsh,park,,,,,53.8345113,-2.2352761,,,,,,692214769,way,2026-03-06T09:52:37.365146
attractions,Off-River Spawning Unit,nature_reserve,,,,,54.0686209,-2.788041,,,,,,694977843,way,2026-03-06T09:52:37.365148
attractions,Spurrier Square,park,,,,,53.6432909,-2.6265227,,,,,,706464988,way,2026-03-06T09:52:37.365152
attractions,Torrisholme Park,park,,,,,54.0665401,-2.8342845,,,,,,707395837,way,2026-03-06T09:52:37.365154
attractions,New House Farm National Nature Reserve,nature_reserve,,,,,54.0742381,-2.1055122,,,,,,707823211,way,2026-03-06T09:52:37.365156
attractions,Mayflower Gardens,park,,,,,53.6311539,-2.6369742,,,,,,710635457,way,2026-03-06T09:52:37.365158
attractions,Balshaw Villa Garden,park,,,,,53.660713,-2.6742818,,,,,,738488213,way,2026-03-06T09:52:37.365160
attractions,Shorey Bank,park,,,,,53.6992393,-2.4699235,,,,,,746406388,way,2026-03-06T09:52:37.365187
attractions,Bank Street Park,park,,,,,53.9176893,-2.1823992,,,,,,749048107,way,2026-03-06T09:52:37.365196
attractions,Unnamed,park,,"Lomeshaye Road, Nelson",,Nelson,53.8345557,-2.2248541,,,,,,764289544,way,2026-03-06T09:52:37.365201
attractions,Mile Stone Meadow,park,,,,,53.6749473,-2.6749148,,,,,,764386673,way,2026-03-06T09:52:37.365203
attractions,Yarrow Valley Country Park - Dob Brow Pastures,park,,,,,53.6426314,-2.6547653,,,,,,765151430,way,2026-03-06T09:52:37.365205
attractions,Keasden Moor,nature_reserve,,,,,54.0927733,-2.4228065,,,,,,770894898,way,2026-03-06T09:52:37.365211
attractions,Unnamed,park,,"Netherfield Road, Nelson",,Nelson,53.8360882,-2.2106492,,,,,,772722891,way,2026-03-06T09:52:37.365213
attractions,Unnamed,park,,"Stanworth Road, Nelson",,Nelson,53.8342513,-2.2154589,,,,,,773875245,way,2026-03-06T09:52:37.365215
attractions,Thursby Gardens,park,,,,,53.7952541,-2.2420329,,,,,,784638026,way,2026-03-06T09:52:37.365217
attractions,Queen Street Mill Textile Museum,museum,,"Queen Street, Burnley, BB10 2HX",BB10 2HX,Burnley,53.8102317,-2.2018909,,https://www.lancashire.gov.uk/leisure-and-culture/museums/queen-street-mill-textile-museum/,,,yes,788205301,way,2026-03-06T09:52:37.365220
attractions,Whitehall Park,park,,,,,53.6782052,-2.4633263,,,,,,794787161,way,2026-03-06T09:52:37.365222
attractions,Chipping Showground,attraction,,"Longridge Road, Preston, PR3 2QF",PR3 2QF,Preston,53.8800648,-2.5757699,,https://www.chippingshow.co.uk/,,,,803282229,way,2026-03-06T09:52:37.365225
attractions,Heyhead Park,park,,,,,53.823,-2.2285907,,https://www.pendle.gov.uk/info/20088/parks_and_outdoor_recreation/243/parks_in_pendle/5,,,,806208504,way,2026-03-06T09:52:37.365227
attractions,Rufford Park,park,,,,,53.6390078,-2.8256966,,,,,,817265572,way,2026-03-06T09:52:37.365230
attractions,Bofors gun emplacement and attached pillbox,attraction,,,,,53.682282,-2.6335518,,https://historicengland.org.uk/listing/the-list/list-entry/1417481,,,,826578391,way,2026-03-06T09:52:37.365232
attractions,Whalley Park,park,,,,,53.8219453,-2.4062395,,,,,,829329143,way,2026-03-06T09:52:37.365236
attractions,Memorial Gardens,park,,,,,53.914061,-2.1836032,,,,,,883199274,way,2026-03-06T09:52:37.365239
attractions,Padiham Memorial Park,park,,,,,53.7992171,-2.3186717,,https://www.burnley.gov.uk/residents/parks-open-spaces/padiham-memorial-park,,,,894037581,way,2026-03-06T09:52:37.365242
attractions,Castercliff,castle,,,,,53.8416826,-2.1763373,,,,,,896780453,way,2026-03-06T09:52:37.365244
attractions,Sough Park,park,,,,,53.9063893,-2.1467042,,,,,,905928029,way,2026-03-06T09:52:37.365246
attractions,Eccleston Recreation Ground,park,,,,,53.6468193,-2.7194133,,,,,,909603115,way,2026-03-06T09:52:37.365248
attractions,Gorpley Clough Local Nature Reserve,nature_reserve,,,,,53.707498,-2.1298362,,,,,,910152181,way,2026-03-06T09:52:37.365249
attractions,Sabden Park,park,,,,,53.8322864,-2.3377903,,,,,,910502051,way,2026-03-06T09:52:37.365251
attractions,Pit Head Pocket Park,park,,,,,53.7058599,-2.3202677,,,,,,912193054,way,2026-03-06T09:52:37.365253
attractions,Lancaster Moor,park,,,,,54.0509402,-2.7717064,,,,,,913807137,way,2026-03-06T09:52:37.365255
attractions,Buckshaw Community Pond,park,,,,,53.6660321,-2.6427939,,,,,,930780379,way,2026-03-06T09:52:37.365261
